Acl -507 -4 27
Acl -506 -8 21
Acl -513 -7 21
Acl -510 -9 26
Acl -511 -9 24
Acl -508 -7 25
Acl -508 -8 22
Acl -511 -5 24
Acl -511 -8 31
Acl -506 -6 28
Acl -509 -7 27
Acl -510 -6 26
Acl -508 -7 20
Acl -512 -8 25
Acl -509 -8 27
Acl -511 -9 27
Acl -511 -3 27
Acl -509 -9 30
Acl -510 -5 19
Acl -509 -7 29
Acl -513 -7 27
Acl -502 -3 26
Acl -511 -10 30
Acl -510 -7 23
Acl -508 -7 25
Acl -508 -6 24
Acl -510 -4 25
Acl -511 -7 24
Acl -509 -4 25
Acl -513 -9 27
Acl -510 -7 26
Acl -511 -11 30
Acl -510 -10 30
Acl -511 -8 24
Acl -510 -9 26
Acl -511 -7 23
Acl -515 -8 26
Acl -512 -7 24
Acl -508 -7 26
Acl -509 -8 26
Acl -509 -3 28
Acl -511 -9 27
Acl -510 -9 27
Acl -509 -2 26
Acl -511 -6 23
Acl -509 -12 20
Acl -512 -4 25
Acl -511 -6 27
Acl -510 -10 23
Acl -511 -6 25
Acl -511 -5 27
Acl -509 -9 25
Acl -509 -3 20
Acl -506 0 20
Acl -510 -7 28
Acl -513 -6 24
Acl -509 -11 27
Acl -509 -9 26
Acl -508 -4 20
Acl -510 -6 26
Acl -508 -8 24
Acl -508 -5 28
Acl -506 -7 19
Acl -508 -5 24
Acl -511 -8 29
Acl -512 -4 23
Acl -506 -5 28
Acl -513 -7 22
Acl -509 -4 19
Acl -510 -6 21
Acl -509 -6 23
Acl -510 -10 26
Acl -508 -9 30
Acl -513 -4 23
Acl -508 -6 25
Acl -513 -10 27
Acl -510 -7 26
Acl -513 -8 27
Acl -511 -7 25
Acl -510 -6 27
Acl -509 -5 22
Acl -511 -9 25
Acl -513 -4 27
Acl -507 -10 23
Acl -510 -7 23
Acl -510 -11 23
Acl -512 -9 32
Acl -511 -6 23
Acl -513 -9 25
Acl -508 -5 21
Acl -510 -8 25
Acl -509 -3 28
Acl -512 -9 24
Acl -510 -7 30
Acl -512 -2 23
Acl -515 -7 29
Acl -510 -2 25
Acl -507 -8 22
Acl -510 -5 23
Acl -508 -6 21
Acl -509 -5 25
Acl -508 -6 22
Acl -508 -6 22
Acl -509 -4 26
Acl -506 -6 25
Acl -509 -10 21
Acl -505 -6 27
Acl -511 -11 25
Acl -512 -9 27
Acl -505 -6 23
Acl -511 -6 28
Acl -514 -10 23
Acl -507 -5 20
Acl -510 -7 20
Acl -511 -7 24
Acl -509 -5 25
Acl -513 -7 22
Acl -514 -10 27
Acl -511 -4 22
Acl -510 -8 25
Acl -509 -7 26
Acl -507 -8 26
Acl -509 -7 26
Acl -512 -9 20
Acl -508 -8 23
Acl -512 -8 25
Acl -510 -7 30
Acl -508 -5 26
Acl -508 -8 25
Acl -507 3 22
Acl -509 -7 23
Acl -515 -13 25
Acl -507 -9 25
Acl -513 -4 26
Acl -509 -9 27
Acl -513 -12 26
Acl -508 -7 28
Acl -511 -5 23
Acl -507 -6 21
Acl -510 -7 24
Acl -511 -7 32
Acl -509 -8 26
Acl -509 -7 27
Acl -511 -8 22
Acl -511 -2 23
Acl -507 -5 21
Acl -510 -4 23
Acl -511 -7 20
Acl -516 -5 25
Acl -508 -12 27
